"contrast","epoch","estimate","SE","df","t.ratio","p.value"
"day_in_epoch_factor2 - day_in_epoch_factor6","E4",-32,14.9889337962543,135,-2.13490835538928,0.518620314847124
"day_in_epoch_factor2 - day_in_epoch_factor7","E4",-42.6666666666666,14.9889337962543,135,-2.84654447385237,0.0919841789692245
"day_in_epoch_factor3 - day_in_epoch_factor4","E4",-24.3333333333333,14.9889337962543,135,-1.62341989524393,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E4",-13.3333333333333,14.9889337962543,135,-0.889545148078865,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E4",-30.8333333333333,14.9889337962543,135,-2.05707315493238,0.58246283721071
"day_in_epoch_factor3 - day_in_epoch_factor7","E4",-41.5,14.9889337962543,135.000000000002,-2.76870927339547,0.109133500219825
"day_in_epoch_factor4 - day_in_epoch_factor5","E4",11,14.9889337962543,135,0.733874747165064,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E4",-6.49999999999999,14.9889337962543,135,-0.433653259688446,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E4",-17.1666666666666,14.9889337962543,135,-1.14528937815154,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E4",-17.5,14.9889337962543,135,-1.16752800685351,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E4",-28.1666666666666,14.9889337962543,135,-1.8791641253166,0.810912892437288
"day_in_epoch_factor6 - day_in_epoch_factor7","E4",-10.6666666666667,14.9889337962543,135,-0.711636118463091,1
