"contrast","epoch","estimate","SE","df","t.ratio","p.value"
"day_in_epoch_factor1 - day_in_epoch_factor5","E2",7.50000000000009,5.79663563692563,135,1.29385396456933,1
"day_in_epoch_factor1 - day_in_epoch_factor6","E2",14.0000000000001,5.79663563692563,134.999999999999,2.41519406719607,0.358376404974156
"day_in_epoch_factor1 - day_in_epoch_factor7","E2",13.5000000000001,5.79663563692563,135,2.32893713622478,0.426942848050527
"day_in_epoch_factor2 - day_in_epoch_factor3","E2",-0.500000000000006,5.79663563692563,134.999999999999,-0.0862569309712888,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E2",1.83333333333333,5.79663563692563,135,0.316275413561387,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E2",4.83333333333333,5.79663563692563,134.999999999999,0.833816999389114,1
"day_in_epoch_factor2 - day_in_epoch_factor6","E2",11.3333333333333,5.79663563692563,134.999999999999,1.95515710201585,0.94734700002143
"day_in_epoch_factor2 - day_in_epoch_factor7","E2",10.8333333333333,5.79663563692563,135,1.86890017104457,1
"day_in_epoch_factor3 - day_in_epoch_factor4","E2",2.33333333333333,5.79663563692563,135,0.402532344532676,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E2",5.33333333333334,5.79663563692563,134.999999999999,0.920073930360403,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E2",11.8333333333333,5.79663563692563,134.999999999999,2.04141403298714,0.819999154458032
"day_in_epoch_factor3 - day_in_epoch_factor7","E2",11.3333333333333,5.79663563692562,135,1.95515710201586,0.94734700002143
"day_in_epoch_factor4 - day_in_epoch_factor5","E2",3.00000000000001,5.79663563692563,135,0.517541585827727,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E2",9.5,5.79663563692563,134.999999999999,1.63888168845447,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E2",9,5.79663563692563,135,1.55262475748318,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E2",6.5,5.79663563692563,134.999999999999,1.12134010262674,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E2",6,5.79663563692563,134.999999999999,1.03508317165545,1
"day_in_epoch_factor6 - day_in_epoch_factor7","E2",-0.5,5.79663563692563,134.999999999999,-0.0862569309712877,1
"day_in_epoch_factor1 - day_in_epoch_factor2","E3",3.50000000000009,5.79663563692563,135,0.60379851679903,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E3",5.66666666666676,5.79663563692563,135,0.977578551007943,1
"day_in_epoch_factor1 - day_in_epoch_factor4","E3",6.00000000000009,5.79663563692563,135,1.03508317165547,1
"day_in_epoch_factor1 - day_in_epoch_factor5","E3",-1.66666666666658,5.79663563692563,135,-0.28752310323761,1
"day_in_epoch_factor1 - day_in_epoch_factor6","E3",3.00000000000009,5.79663563692563,135.000000000002,0.517541585827742,1
"day_in_epoch_factor1 - day_in_epoch_factor7","E3",1.00000000000009,5.79663563692563,135,0.172513861942591,1
"day_in_epoch_factor2 - day_in_epoch_factor3","E3",2.16666666666666,5.79663563692562,134.999999999999,0.373780034208913,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E3",2.49999999999999,5.79663563692563,134.999999999999,0.431284654856437,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E3",-5.16666666666667,5.79663563692562,134.999999999999,-0.89132162003664,1
